SRR_ID	Tissue	Log2TPM1
SRR7144128	Brain	5.526293652
SRR5470021	Brain	5.530735144
ERR266387	Brain	5.550525478
SRX372013	Brain	5.563655939
SRR5470025	Brain	5.593363632
SRR5470023	Brain	5.612284698
SRR6203132	Brain	5.621524033
SRR5470022	Brain	5.708886227
SRR636973	Brain	5.737542728
ERR266405	Brain	5.772619783
SRR6203141	Brain	5.831717791
SRR8768393	Brain	5.847308757
SRR8768401	Brain	5.851937691
SRR8768394	Brain	5.853890858
SRR8768410	Brain	5.863800442
SRR7144125	Brain	5.914887348
SRR8768403	Brain	5.915179356
SRR12202388	Brain	5.917220659
SRR8768414	Brain	5.917225887
SRR8768398	Brain	5.928578587
SRR8768411	Brain	5.936571256
SRR8768412	Brain	5.939878488
SRR8768415	Brain	5.947314299
SRR8768396	Brain	5.96691067
SRR636974	Brain	5.97219909
ERR266363	Brain	5.974762928
SRR8768390	Brain	5.977244337
SRR8768409	Brain	5.987257963
SRR8768406	Brain	6.006542081
SRR8768413	Brain	6.030597378
SRR8768395	Brain	6.035949359
SRR8768404	Brain	6.038111798
SRR8768416	Brain	6.048931118
SRR8768389	Brain	6.049746087
SRR8768408	Brain	6.051815545
SRR8768407	Brain	6.062073431
SRR8768388	Brain	6.062995904
SRR8768405	Brain	6.089819404
ERR266362	Brain	6.092218434
SRR8768400	Brain	6.093903908
